Country,Clicks,Impressions,CTR,Position
United States,13,1376,0.94%,15.66
Canada,2,116,1.72%,10.31
Netherlands,1,24,4.17%,9.67
Mexico,1,17,5.88%,9.82
Turkey,1,16,6.25%,7.31
Portugal,1,15,6.67%,13.67
New Zealand,1,14,7.14%,9
Ukraine,1,13,7.69%,16.08
Italy,1,12,8.33%,8.92
Sweden,1,11,9.09%,9.64
Ireland,1,9,11.11%,8.67
United Kingdom,0,92,0%,12.48
Brazil,0,63,0%,8.67
India,0,43,0%,25.19
Australia,0,42,0%,13.81
Germany,0,29,0%,7.69
France,0,27,0%,8.96
Philippines,0,22,0%,12.82
Argentina,0,16,0%,10.38
Indonesia,0,16,0%,14.31
Vietnam,0,15,0%,16.27
South Africa,0,14,0%,9.36
Spain,0,13,0%,8.31
Denmark,0,12,0%,8.92
Russia,0,11,0%,9.82
China,0,10,0%,7.6
Norway,0,10,0%,11.6
Colombia,0,9,0%,7.56
Hong Kong,0,9,0%,7.67
Romania,0,9,0%,10.33
Malaysia,0,9,0%,13.89
Poland,0,8,0%,10.88
South Korea,0,8,0%,14.62
Austria,0,8,0%,15.75
Taiwan,0,8,0%,18.88
Finland,0,7,0%,7.57
Chile,0,7,0%,9.71
Belgium,0,7,0%,10.71
Egypt,0,7,0%,24.71
Switzerland,0,6,0%,8.67
Iran,0,6,0%,9.67
Ecuador,0,5,0%,5.2
Venezuela,0,5,0%,8.6
Bangladesh,0,5,0%,9.4
Serbia,0,5,0%,9.6
Singapore,0,5,0%,9.8
Japan,0,5,0%,10.2
Greece,0,5,0%,14
Thailand,0,5,0%,26.8
Saudi Arabia,0,4,0%,8.5
Estonia,0,4,0%,10.5
Israel,0,4,0%,13.5
Hungary,0,4,0%,19.5
Pakistan,0,4,0%,19.75
Dominican Republic,0,4,0%,24.5
Panama,0,3,0%,4.67
Moldova,0,3,0%,7.33
Puerto Rico,0,3,0%,7.67
Lebanon,0,3,0%,10
United Arab Emirates,0,3,0%,11
Guatemala,0,3,0%,15.67
Czechia,0,3,0%,21.67
Azerbaijan,0,3,0%,24
Kazakhstan,0,3,0%,43.33
Malta,0,2,0%,4
Algeria,0,2,0%,5.5
Morocco,0,2,0%,5.5
Belarus,0,2,0%,6
Croatia,0,2,0%,8.5
Slovakia,0,2,0%,9
Nepal,0,2,0%,9.5
Latvia,0,2,0%,10
Iceland,0,2,0%,10.5
Uruguay,0,2,0%,10.5
U.S. Virgin Islands,0,2,0%,10.5
Kosovo,0,2,0%,10.5
Nigeria,0,2,0%,11
Iraq,0,2,0%,49.5
Cuba,0,1,0%,1
Qatar,0,1,0%,4
Ghana,0,1,0%,5
Belize,0,1,0%,6
Albania,0,1,0%,8
St. Barthélemy,0,1,0%,8
Cayman Islands,0,1,0%,8
Jordan,0,1,0%,8
Cambodia,0,1,0%,8
Paraguay,0,1,0%,8
Palestine,0,1,0%,8
Bahrain,0,1,0%,9
Eritrea,0,1,0%,9
Kuwait,0,1,0%,9
Peru,0,1,0%,9
Andorra,0,1,0%,10
Jamaica,0,1,0%,10
Armenia,0,1,0%,11
Sri Lanka,0,1,0%,11
Mongolia,0,1,0%,11
Cameroon,0,1,0%,12
Trinidad & Tobago,0,1,0%,12
Tunisia,0,1,0%,16
Mozambique,0,1,0%,44
