Country,Clicks,Impressions,CTR,Position
United States,7,421,1.66%,10.42
United Kingdom,1,23,4.35%,11.52
South Africa,1,7,14.29%,11.57
Mexico,1,7,14.29%,14.14
Philippines,1,3,33.33%,9.67
Israel,1,2,50%,10
Slovenia,1,1,100%,6
Canada,0,31,0%,7.39
Brazil,0,20,0%,13.4
Pakistan,0,8,0%,11.88
Iraq,0,7,0%,17.57
Saudi Arabia,0,5,0%,10.4
Australia,0,4,0%,10
Uzbekistan,0,4,0%,11
India,0,4,0%,15.5
China,0,3,0%,8
Netherlands,0,3,0%,8
Ireland,0,3,0%,8.33
New Zealand,0,3,0%,9.67
Ukraine,0,3,0%,11.67
Chile,0,3,0%,16
Jordan,0,3,0%,19.67
Palestine,0,3,0%,22.67
Egypt,0,3,0%,23
Indonesia,0,3,0%,35
Venezuela,0,2,0%,4
Estonia,0,2,0%,6.5
Puerto Rico,0,2,0%,7
Singapore,0,2,0%,7.5
Argentina,0,2,0%,8
Colombia,0,2,0%,8
Romania,0,2,0%,8
Peru,0,2,0%,8.5
Turkey,0,2,0%,8.5
Morocco,0,2,0%,9.5
Ecuador,0,2,0%,10.5
Sweden,0,2,0%,10.5
Finland,0,2,0%,12
Bangladesh,0,2,0%,17.5
Vietnam,0,2,0%,18.5
Malaysia,0,2,0%,26.5
Kazakhstan,0,1,0%,3
Oman,0,1,0%,3
Germany,0,1,0%,6
Czechia,0,1,0%,7
Dominican Republic,0,1,0%,7
Uruguay,0,1,0%,7
Hong Kong,0,1,0%,8
Jamaica,0,1,0%,8
Portugal,0,1,0%,9
Albania,0,1,0%,10
Ethiopia,0,1,0%,10
Lebanon,0,1,0%,10
Qatar,0,1,0%,10
Hungary,0,1,0%,11
Italy,0,1,0%,11
Paraguay,0,1,0%,11
Trinidad & Tobago,0,1,0%,11
South Korea,0,1,0%,12
Costa Rica,0,1,0%,18
Russia,0,1,0%,19
Tunisia,0,1,0%,32
Kenya,0,1,0%,40
United Arab Emirates,0,1,0%,41
