============================================================
Script:  pipeline-revise
Started: 2026-04-12T14:17:48.603Z
============================================================
[14:17:48.605] [INFO ] Model config loaded from config/models.json
[14:17:48.608] [INFO ] Pass 2 model:  anthropic/claude-haiku-4-5 (temp: 0.4)
[14:17:48.609] [INFO ] Loaded pass2-conversion.txt (1941 chars)
[14:17:48.612] [INFO ] pipeline-revise.js
[14:17:48.612] [INFO ] Pass:    2
[14:17:48.612] [INFO ] Files:   163
[14:17:48.612] [INFO ] Force:   no
[14:17:48.613] [INFO ] Dry run: no
[14:17:48.613] [INFO ] Delay:   500ms between calls

── Processing ───────────────────────────────────
[14:17:48.616] [SKIP ] a-beautiful-mind.json (already exists in 2-revised)
[14:17:49.128] [SKIP ] a-knight-of-the-seven-kingdoms.json (already exists in 2-revised)
[14:17:49.631] [SKIP ] a-little-life.json (already exists in 2-revised)
[14:17:50.149] [SKIP ] a-man-called-ove.json (already exists in 2-revised)
[14:17:50.681] [SKIP ] a-walk-to-remember.json (already exists in 2-revised)
[14:17:51.199] [SKIP ] about-a-boy.json (already exists in 2-revised)
[14:17:51.715] [SKIP ] all-quiet-on-the-western-front.json (already exists in 2-revised)
[14:17:52.235] [SKIP ] all-the-light-we-cannot-see.json (already exists in 2-revised)
[14:17:52.767] [SKIP ] along-came-a-spider.json (already exists in 2-revised)
[14:17:53.286] [SKIP ] american-gods.json (already exists in 2-revised)
[14:17:53.801] [SKIP ] american-psycho.json (already exists in 2-revised)
[14:17:54.302] [SKIP ] animal-farm.json (already exists in 2-revised)
[14:17:54.804] [SKIP ] annihilation.json (already exists in 2-revised)
[14:17:55.336] [SKIP ] atonement.json (already exists in 2-revised)
[14:17:55.869] [SKIP ] band-of-brothers.json (already exists in 2-revised)
[14:17:56.388] [SKIP ] beloved.json (already exists in 2-revised)
[14:17:56.905] [SKIP ] big-fish.json (already exists in 2-revised)
[14:17:57.406] [SKIP ] big-little-lies-hbo.json (already exists in 2-revised)
[14:17:57.906] [SKIP ] breakfast-at-tiffanys.json (already exists in 2-revised)
[14:17:58.407] [SKIP ] bridgerton.json (already exists in 2-revised)
[14:17:58.922] [SKIP ] brooklyn.json (already exists in 2-revised)
[14:17:59.441] [SKIP ] catch-22.json (already exists in 2-revised)
[14:17:59.958] [SKIP ] catch-me-if-you-can.json (already exists in 2-revised)
[14:18:00.491] [SKIP ] cold-mountain.json (already exists in 2-revised)
[14:18:00.992] [SKIP ] contact.json (already exists in 2-revised)
[14:18:01.509] [SKIP ] da-vinci-code.json (already exists in 2-revised)
[14:18:02.028] [SKIP ] daisy-jones-and-the-six.json (already exists in 2-revised)
[14:18:02.529] [SKIP ] dark-matter.json (already exists in 2-revised)
[14:18:03.045] [SKIP ] devil-wears-prada.json (already exists in 2-revised)
[14:18:03.561] [SKIP ] divergent.json (already exists in 2-revised)
[14:18:04.077] [SKIP ] doctor-sleep.json (already exists in 2-revised)
[14:18:04.580] [SKIP ] dracula.json (already exists in 2-revised)
[14:18:05.095] [SKIP ] dune.json (already exists in 2-revised)
[14:18:05.615] [SKIP ] eat-pray-love.json (already exists in 2-revised)
[14:18:06.146] [SKIP ] enders-game.json (already exists in 2-revised)
[14:18:06.664] [SKIP ] enders-game-film.json (already exists in 2-revised)
[14:18:07.183] [SKIP ] english-patient.json (already exists in 2-revised)
[14:18:07.694] [SKIP ] everything-everything.json (already exists in 2-revised)
[14:18:08.200] [SKIP ] fight-club.json (already exists in 2-revised)
[14:18:08.719] [SKIP ] five-feet-apart.json (already exists in 2-revised)
[14:18:09.234] [SKIP ] fourth-wing.json (already exists in 2-revised)
[14:18:09.749] [SKIP ] frankenstein.json (already exists in 2-revised)
[14:18:10.269] [SKIP ] geralds-game.json (already exists in 2-revised)
[14:18:10.801] [SKIP ] girl-on-the-train.json (already exists in 2-revised)
[14:18:11.309] [SKIP ] girl-with-the-dragon-tattoo.json (already exists in 2-revised)
[14:18:11.836] [SKIP ] gone-girl.json (already exists in 2-revised)
[14:18:12.355] [SKIP ] good-omens.json (already exists in 2-revised)
[14:18:12.887] [SKIP ] hamnet.json (already exists in 2-revised)
[14:18:13.389] [SKIP ] hannibal-series.json (already exists in 2-revised)
[14:18:13.907] [SKIP ] heated-rivalry.json (already exists in 2-revised)
[14:18:14.439] [SKIP ] high-fidelity.json (already exists in 2-revised)
[14:18:14.959] [SKIP ] hillbilly-elegy.json (already exists in 2-revised)
[14:18:15.491] [SKIP ] hitchhikers-guide.json (already exists in 2-revised)
[14:18:16.008] [SKIP ] howls-moving-castle.json (already exists in 2-revised)
[14:18:16.509] [SKIP ] hunger-games-sunrise.json (already exists in 2-revised)
[14:18:17.025] [SKIP ] i-am-legend.json (already exists in 2-revised)
[14:18:17.527] [SKIP ] i-robot.json (already exists in 2-revised)
[14:18:18.058] [SKIP ] interview-with-the-vampire-amcplus.json (already exists in 2-revised)
[14:18:18.561] [SKIP ] into-the-wild.json (already exists in 2-revised)
[14:18:19.074] [SKIP ] it-ends-with-us.json (already exists in 2-revised)
[14:18:19.594] [SKIP ] it-muschietti.json (already exists in 2-revised)
[14:18:20.095] [SKIP ] jane-eyre.json (already exists in 2-revised)
[14:18:20.629] [SKIP ] jurassic-park.json (already exists in 2-revised)
[14:18:21.146] [SKIP ] kite-runner.json (already exists in 2-revised)
[14:18:21.664] [SKIP ] la-confidential.json (already exists in 2-revised)
[14:18:22.198] [SKIP ] les-miserables.json (already exists in 2-revised)
[14:18:22.713] [SKIP ] little-women.json (already exists in 2-revised)
[14:18:23.214] [SKIP ] lonesome-dove.json (already exists in 2-revised)
[14:18:23.734] [SKIP ] looking-for-alaska.json (already exists in 2-revised)
[14:18:24.249] [SKIP ] lord-of-the-flies.json (already exists in 2-revised)
[14:18:24.750] [SKIP ] love-simon.json (already exists in 2-revised)
[14:18:25.268] [SKIP ] margos-got-money-troubles.json (already exists in 2-revised)
[14:18:25.797] [SKIP ] me-before-you.json (already exists in 2-revised)
[14:18:26.302] [SKIP ] mickey-17.json (already exists in 2-revised)
[14:18:26.820] [SKIP ] misery.json (already exists in 2-revised)
[14:18:27.349] [SKIP ] my-brilliant-friend.json (already exists in 2-revised)
[14:18:27.850] [SKIP ] my-sisters-keeper.json (already exists in 2-revised)
[14:18:28.353] [SKIP ] narnia-magicians-nephew.json (already exists in 2-revised)
[14:18:28.871] [SKIP ] never-let-me-go.json (already exists in 2-revised)
[14:18:29.405] [SKIP ] normal-people.json (already exists in 2-revised)
[14:18:29.923] [SKIP ] of-mice-and-men.json (already exists in 2-revised)
[14:18:30.439] [SKIP ] olive-kitteridge.json (already exists in 2-revised)
[14:18:30.958] [SKIP ] on-the-road.json (already exists in 2-revised)
[14:18:31.472] [SKIP ] one-day.json (already exists in 2-revised)
[14:18:31.991] [SKIP ] one-flew-over-the-cuckoos-nest.json (already exists in 2-revised)
[14:18:32.507] [SKIP ] outlander.json (already exists in 2-revised)
[14:18:33.009] [SKIP ] pachinko.json (already exists in 2-revised)
